0,0,Drake,male,33,person,CA,n/a,n/a,Toronto,n/a,,
1,1,Post Malone,male,25,person,US,n/a,n/a,Syracuse,n/a,,
2,2,Ed Sheeran,male,29,person,GB,n/a,n/a,Halifax,n/a,,
3,3,J Balvin,male,35,person,CO,n/a,n/a,Medellín,n/a,,
4,4,Bad Bunny,male,26,person,PR,n/a,n/a,San Juan,n/a,,
5,5,Justin Bieber,male,26,person,CA,n/a,n/a,London,n/a,,
6,6,Ozuna,male,28,person,PR,n/a,n/a,San Juan,n/a,,
7,7,Ariana Grande,female,27,person,US,n/a,n/a,Boca Raton,n/a,,
8,8,Khalid,male,22,person,US,n/a,n/a,n/a,n/a,,
9,9,Daddy Yankee,male,43,person,PR,n/a,n/a,San Juan,n/a,,
10,10,Travis Scott,male,28,person,US,n/a,n/a,Houston,n/a,,
11,11,The Weeknd,male,30,person,CA,n/a,n/a,Scarborough,n/a,,
12,12,XXXTENTACION,male,20,person,US,n/a,n/a,Plantation,n/a,Deerfield Beach,n/a
13,13,Billie Eilish,female,18,person,US,n/a,n/a,Los Angeles,n/a,,
14,14,The Chainsmokers,mixed,8,group,US,n/a,n/a,New York,n/a,,
15,15,Anuel Aa,male,27,person,PR,n/a,n/a,Carolina,n/a,,
16,16,Nicky Jam,male,40,person,PR,n/a,n/a,Boston,n/a,,
17,17,Maluma,male,26,person,CO,n/a,n/a,Medellín,n/a,,
18,18,Camila Cabello,female,23,person,US,n/a,n/a,Cojímar,n/a,,
19,19,Dua Lipa,female,24,person,GB,n/a,n/a,London,n/a,,
20,20,Juice WRLD,male,21,person,US,n/a,n/a,Chicago,n/a,Oak Lawn,n/a
21,21,Selena Gomez,female,28,person,US,n/a,n/a,Grand Prairie,n/a,,
22,22,Halsey,female,25,person,US,n/a,n/a,Washington,n/a,,
23,23,Cardi B,female,27,person,US,n/a,n/a,n/a,The Bronx,,
24,24,Calvin Harris,male,36,person,GB,n/a,n/a,n/a,n/a,,
25,25,Nicki Minaj,female,37,person,,n/a,Queens,Port of Spain,n/a,,
26,26,Shawn Mendes,male,21,person,CA,n/a,n/a,Toronto,n/a,,
27,27,Imagine Dragons,mixed,12,group,US,n/a,n/a,Las Vegas,n/a,,
28,28,Kendrick Lamar,male,33,person,US,n/a,n/a,Compton,n/a,,
29,29,Sam Smith,other,28,person,GB,n/a,n/a,n/a,n/a,,
30,30,Future,male,36,person,,Atlanta,n/a,Atlanta,n/a,,
31,31,Farruko,male,29,person,PR,n/a,n/a,Bayamón,n/a,,
32,32,Maroon 5,mixed,18,group,US,n/a,n/a,Los Angeles,n/a,,
33,33,Rihanna,female,32,person,,New York,n/a,n/a,n/a,,
34,34,Lil Uzi Vert,male,26,person,US,n/a,n/a,n/a,Francisville,,
35,35,Kygo,male,28,person,NO,n/a,n/a,n/a,n/a,,
36,36,Marshmello,male,28,person,US,n/a,n/a,Philadelphia,n/a,,
37,37,Quavo,male,29,person,US,n/a,n/a,Lawrenceville,n/a,,
38,38,21 Savage,male,27,person,US,n/a,n/a,n/a,Plaistow,,
39,39,DJ Snake,male,34,person,FR,n/a,n/a,Paris,n/a,,
40,40,Young Thug,male,28,person,US,n/a,n/a,Atlanta,n/a,,
41,41,Sia,female,44,person,AU,n/a,n/a,Adelaide,n/a,,
42,42,Sech,male,26,person,PA,n/a,n/a,n/a,n/a,,
43,43,David Guetta,male,52,person,FR,n/a,n/a,Paris,n/a,,
44,44,Bebe Rexha,female,30,person,US,n/a,n/a,New York,n/a,,
45,45,Swae Lee,male,0,person,US,n/a,n/a,,,,
46,46,Ty Dolla $ign,male,35,person,US,n/a,n/a,Los Angeles,n/a,,
47,47,Eminem,male,47,person,,Detroit,n/a,St. Joseph,n/a,,
48,48,Major Lazer,mixed,12,group,,n/a,n/a,Los Angeles,n/a,,
49,49,Coldplay,mixed,23,group,GB,n/a,n/a,London,n/a,,
50,50,Bruno Mars,male,34,person,US,n/a,n/a,Honolulu,n/a,,
51,51,Migos,mixed,12,group,,Atlanta,n/a,Lawrenceville,n/a,,
52,52,Avicii,male,28,person,SE,n/a,n/a,Stockholm,n/a,n/a,n/a
53,53,Sebastian Yatra,male,25,person,CO,n/a,n/a,Medellín,n/a,,
54,54,Manuel Turizo,male,0,person,CO,n/a,n/a,n/a,n/a,,
55,55,Taylor Swift,female,30,person,US,n/a,n/a,Reading,n/a,,
56,56,Karol G,female,29,person,CO,n/a,n/a,Medellín,n/a,,
57,57,Wisin,male,40,person,PR,n/a,n/a,Cayey,n/a,,
58,58,Anne-Marie,,0,,,Berkeley,n/a,,,,
59,59,Luis Fonsi,male,42,person,PR,n/a,n/a,,,,
60,60,DaBaby,male,28,person,US,n/a,n/a,Cleveland,n/a,,
61,61,Kanye West,male,43,person,,Chicago,n/a,Atlanta,n/a,,
62,62,Lil Baby,male,25,person,,Atlanta,n/a,Atlanta,n/a,,
63,63,Zara Larsson,female,22,person,SE,n/a,n/a,n/a,n/a,,
64,64,Charlie Puth,male,28,person,US,n/a,n/a,Janesville,n/a,,
65,65,J. Cole,male,35,person,US,n/a,n/a,Frankfurt am Main,n/a,,
66,66,Zedd,male,30,person,DE,n/a,n/a,Saratov,n/a,,
67,67,Jason Derulo,male,30,person,US,n/a,n/a,Miami,n/a,,
68,68,Clean Bandit,mixed,12,group,GB,n/a,n/a,Cambridge,n/a,,
69,69,Lenny Tavárez,male,33,person,PR,n/a,n/a,,,,
70,70,Martin Garrix,male,24,person,NL,n/a,n/a,n/a,n/a,,
71,71,Zion & Lennox,mixed,17,group,PR,n/a,n/a,,,,
72,72,Demi Lovato,female,27,person,US,n/a,n/a,Albuquerque,n/a,,
73,73,Offset,male,0,person,,Atlanta,n/a,,,,
74,74,Anitta,female,27,person,BR,n/a,n/a,Rio de Janeiro,n/a,,
75,75,Lady Gaga,female,34,person,US,n/a,n/a,n/a,Manhattan,,
76,76,ZAYN,male,27,person,GB,n/a,n/a,Bradford,n/a,,
77,77,Roddy Ricch,male,21,person,US,n/a,n/a,Compton,n/a,,
78,78,Lil Wayne,male,37,person,,Miami Beach,n/a,New Orleans,n/a,,
79,79,Darell,male,0,person,PR,n/a,n/a,,,,
80,80,Marília Mendonça,female,25,person,BR,n/a,n/a,n/a,n/a,,
81,81,Lauv,male,25,person,US,n/a,n/a,San Francisco,n/a,,
82,82,Jonas Blue,male,30,person,GB,n/a,n/a,London,n/a,,
83,83,Tyga,male,30,person,US,n/a,n/a,Compton,n/a,,
84,84,Ellie Goulding,female,33,person,,n/a,n/a,Lyonshall,n/a,,
85,85,Queen,mixed,50,group,GB,n/a,n/a,London,n/a,,
86,86,Lewis Capaldi,male,23,person,GB,n/a,n/a,Glasgow,n/a,,
87,87,Dalex,male,29,person,PR,n/a,n/a,Philadelphia,n/a,,
88,88,MØ,female,31,person,DK,n/a,n/a,Odense,n/a,,
89,89,Alessia Cara,female,24,person,CA,n/a,n/a,Brampton,n/a,,
90,90,Twenty One Pilots,mixed,11,group,US,n/a,n/a,Columbus,n/a,,
91,91,Chris Brown,male,31,person,US,n/a,n/a,Tappahannock,n/a,,
92,92,Kodak Black,male,23,person,US,n/a,n/a,Pompano Beach,n/a,,
93,93,6ix9ine,male,24,person,US,n/a,n/a,Bushwick,n/a,,
94,94,Gucci Mane,male,40,person,,Atlanta,n/a,Birmingham,n/a,,
95,95,Becky G,female,23,person,US,n/a,n/a,Inglewood,n/a,,
96,96,Alan Walker,male,22,person,NO,n/a,n/a,Northampton,n/a,,
97,97,Natti Natasha,female,33,person,DO,n/a,n/a,Santiago de los Caballeros,n/a,,
98,98,Paulo Londra,male,0,person,AR,n/a,n/a,,,,
99,99,G-Eazy,male,31,person,US,n/a,n/a,Oakland,n/a,,
100,100,Katy Perry,female,35,person,US,n/a,n/a,Santa Barbara,n/a,,
101,101,Robin Schulz,male,33,person,DE,n/a,n/a,Osnabrück,n/a,,
102,102,Lil Nas X,male,21,person,,Atlanta,n/a,,,,
103,103,Chance the Rapper,male,27,person,,Chicago,n/a,Chicago,n/a,,
104,104,Capital Bra,male,25,person,DE,n/a,n/a,n/a,n/a,,
105,105,Justin Quiles,male,30,person,PR,n/a,n/a,Bridgeport,n/a,,
106,106,Logic,male,30,person,US,n/a,n/a,Gaithersburg,n/a,,
107,107,Harry Styles,male,26,person,GB,n/a,n/a,Redditch,n/a,,
108,108,Piso 21,mixed,0,group,CO,n/a,n/a,,,,
109,109,Tones and I,female,0,person,AU,n/a,n/a,n/a,n/a,,
110,110,A Boogie Wit da Hoodie,male,24,person,US,n/a,n/a,n/a,The Bronx,,
111,111,Diplo,male,41,person,,Los Angeles,n/a,Tupelo,n/a,,
112,112,James Arthur,male,32,person,GB,n/a,n/a,n/a,n/a,,
113,113,Rita Ora,female,29,person,GB,n/a,n/a,n/a,n/a,,
114,114,Big Sean,male,32,person,,Detroit,n/a,Santa Monica,n/a,,
115,115,DJ Khaled,male,44,person,US,n/a,n/a,New Orleans,n/a,,
116,116,Fetty Wap,male,30,person,US,n/a,n/a,Paterson,n/a,,
117,117,Daft Punk,mixed,27,group,FR,n/a,n/a,Paris,n/a,,
118,118,Gunna,male,27,person,US,n/a,n/a,College Park,n/a,,
119,119,Myke Towers,male,26,person,PR,n/a,n/a,Las Piedras,n/a,,
120,120,French Montana,male,35,person,,n/a,The Bronx,Rabat,n/a,,
121,121,A$AP Rocky,male,31,person,US,n/a,n/a,n/a,Harlem,,
122,122,SZA,female,29,person,US,n/a,n/a,St. Louis,n/a,,
123,123,Arcangel,male,34,person,PR,n/a,n/a,New York,n/a,,
124,124,5 Seconds of Summer,mixed,9,group,AU,n/a,n/a,Sydney,n/a,,
125,125,Bastille,mixed,10,group,GB,n/a,n/a,London,n/a,,
126,126,Shakira,female,43,person,CO,n/a,n/a,Barranquilla,n/a,,
127,127,WizKid,male,30,person,,Lagos,n/a,Lagos,n/a,,
128,128,Hailee Steinfeld,female,23,person,US,n/a,n/a,Los Angeles,n/a,,
129,129,Jorge & Mateus,mixed,15,group,BR,n/a,n/a,n/a,n/a,,
130,130,Reik,mixed,17,group,MX,n/a,n/a,Mexicali,n/a,,
131,131,Yandel,male,43,person,PR,n/a,n/a,,,,
132,132,Rauw Alejandro,male,0,person,PR,n/a,n/a,San Juan,n/a,,
133,133,Cheat Codes,mixed,6,group,,Los Angeles,n/a,Los Angeles,n/a,,
134,134,Pharrell Williams,male,47,person,US,n/a,n/a,Virginia Beach,n/a,,
135,135,Ava Max,female,26,person,US,n/a,n/a,Milwaukee,n/a,,
136,136,DJ Luian,male,30,person,PR,n/a,n/a,Carolina,n/a,,
137,137,Jess Glynne,female,30,person,GB,n/a,n/a,n/a,Muswell Hill,,
138,138,Sean Paul,male,47,person,JM,n/a,n/a,n/a,n/a,,
139,139,Kyla,female,39,person,PH,n/a,n/a,Manila,n/a,,
140,140,Camilo,male,26,person,CO,n/a,n/a,Medellín,n/a,,
141,141,Julia Michaels,female,26,person,US,n/a,n/a,Davenport,n/a,,
142,142,Seeb,mixed,5,group,,Oslo,n/a,Oslo,n/a,,
143,143,Adele,female,32,person,GB,n/a,n/a,Tottenham,n/a,,
144,144,Zé Neto & Cristiano,mixed,9,group,BR,n/a,n/a,São José do Rio Preto,n/a,,
145,145,Florida Georgia Line,mixed,10,group,US,n/a,n/a,Nashville,n/a,,
146,146,BTS,mixed,7,group,KR,n/a,n/a,Seoul,n/a,,
147,147,OneRepublic,mixed,16,group,US,n/a,n/a,n/a,n/a,,
148,148,Metro Boomin,male,26,person,US,n/a,n/a,St. Louis,n/a,,
149,149,Enrique Iglesias,male,45,person,ES,n/a,n/a,Madrid,n/a,,
150,150,Matheus & Kauan,mixed,10,group,BR,n/a,n/a,n/a,n/a,,
151,151,Ninho,male,24,person,FR,n/a,n/a,Yerres,n/a,,
152,152,Trippie Redd,male,21,person,US,n/a,n/a,Canton,n/a,,
153,153,RAF Camora,male,36,person,AT,n/a,n/a,Vevey,n/a,,
154,154,Jonas Brothers,mixed,15,group,US,n/a,n/a,n/a,n/a,,
155,155,Mambo Kingz,mixed,0,group,PR,n/a,n/a,,,,
156,156,John Legend,male,41,person,US,n/a,n/a,Springfield,n/a,,
157,157,Pitbull,male,39,person,US,n/a,n/a,Miami,n/a,,
158,158,Fifth Harmony,mixed,7,group,US,n/a,n/a,Miami,n/a,Hollywood,n/a
159,159,Lil Pump,male,0,person,,n/a,n/a,,,,
160,160,Bazzi,male,22,person,US,n/a,n/a,Dearborn,n/a,,
161,161,Felix Jaehn,male,25,person,DE,n/a,n/a,Hamburg,n/a,,
162,162,Beyoncé,female,38,person,US,n/a,n/a,Houston,n/a,,
163,163,Daya,female,21,person,US,n/a,n/a,Pittsburgh,n/a,,
164,164,Normani,female,24,person,US,n/a,n/a,Atlanta,n/a,,
165,165,Lunay,male,20,person,PR,n/a,n/a,Corozal,n/a,,
166,166,Henrique & Juliano,mixed,12,group,BR,n/a,n/a,n/a,n/a,,
167,167,Romeo Santos,male,39,person,US,n/a,n/a,n/a,The Bronx,,
168,168,Grey,male,54,person,US,n/a,n/a,,,,
169,169,Meghan Trainor,female,26,person,US,n/a,n/a,n/a,n/a,,
170,170,Lil Yachty,male,22,person,US,n/a,n/a,Mableton,n/a,,
171,171,Danny Ocean,male,28,person,US,n/a,n/a,Caracas,n/a,,
172,172,Macklemore,male,37,person,US,n/a,n/a,Seattle,n/a,,
173,173,Rae Sremmurd,mixed,7,group,US,n/a,n/a,Tupelo,n/a,,
174,174,2 Chainz,male,43,person,US,n/a,n/a,College Park,n/a,,
175,175,Feid,male,27,person,CO,n/a,n/a,Medellín,n/a,,
176,176,Bonez MC,male,35,person,DE,n/a,n/a,Hamburg,n/a,,
177,177,Panic! At The Disco,mixed,16,group,US,n/a,n/a,Las Vegas,n/a,,
178,178,benny blanco,male,32,person,US,n/a,n/a,Reston,n/a,,
179,179,Bryson Tiller,male,27,person,US,n/a,n/a,Louisville,n/a,,
180,180,Tainy,male,30,person,PR,n/a,n/a,San Juan,n/a,,
181,181,Lukas Graham,mixed,9,group,DK,n/a,n/a,Copenhagen,n/a,,
182,182,Justin Timberlake,male,39,person,US,n/a,n/a,Memphis,n/a,,
183,183,Mark Ronson,male,44,person,GB,n/a,n/a,n/a,St John's Wood,,
184,184,Bradley Cooper,male,45,person,US,n/a,n/a,Philadelphia,n/a,,
185,185,Wiz Khalifa,male,32,person,US,n/a,n/a,Minot,n/a,,
186,186,Brytiago,male,28,person,PR,n/a,n/a,Carolina,n/a,,
187,187,Miley Cyrus,other,27,person,,Toluca Lake,n/a,Nashville,n/a,,
188,188,Dimelo Flow,male,31,person,PA,n/a,n/a,n/a,n/a,,
189,189,Tove Lo,female,32,person,SE,n/a,n/a,Stockholm,n/a,,
190,190,Troye Sivan,male,25,person,AU,n/a,n/a,Johannesburg,n/a,,
191,191,Sfera Ebbasta,male,27,person,IT,n/a,n/a,n/a,n/a,,
192,192,ROSALÍA,female,26,person,ES,n/a,n/a,n/a,n/a,,
193,193,Gusttavo Lima,male,30,person,BR,n/a,n/a,,,,
194,194,Mau y Ricky,mixed,0,group,VE,n/a,n/a,,,,
195,195,Meek Mill,male,33,person,US,n/a,n/a,Philadelphia,n/a,,
196,196,Pedro Capó,male,39,person,PR,n/a,n/a,San Juan,n/a,,
197,197,One Direction,mixed,10,group,GB,n/a,n/a,London,n/a,,
198,198,Wesley Safadão,male,31,person,BR,n/a,n/a,Fortaleza,n/a,,
199,199,YNW Melly,male,21,person,US,n/a,n/a,,,,
200,200,MC Kevinho,male,21,person,BR,n/a,n/a,Campinas,n/a,,
201,201,Samra,male,25,person,DE,n/a,n/a,n/a,n/a,,
202,202,Little Mix,mixed,8,group,GB,n/a,n/a,London,n/a,,
203,203,Mustard,male,30,person,US,n/a,n/a,Los Angeles,n/a,,
204,204,Lil Tecca,male,17,person,US,n/a,n/a,n/a,Queens,,
205,205,Alesso,male,29,person,SE,n/a,n/a,Stockholm,n/a,,
206,206,Doja Cat,female,24,person,US,n/a,n/a,Los Angeles,n/a,,
207,207,Billy Ray Cyrus,male,58,person,US,n/a,n/a,Flatwoods,n/a,,
208,208,Maiara & Maraisa,mixed,0,group,BR,n/a,n/a,,,,
209,209,Lizzo,female,32,person,US,n/a,n/a,Detroit,n/a,,
210,210,Tory Lanez,male,28,person,CA,n/a,n/a,Brampton,n/a,,
211,211,BLACKPINK,mixed,3,group,KR,n/a,n/a,Seoul,n/a,,
212,212,Willy William,male,39,person,FR,n/a,n/a,Fréjus,n/a,,
213,213,Liam Payne,male,26,person,GB,n/a,n/a,Wolverhampton,n/a,,
214,214,Tiësto,male,51,person,NL,n/a,n/a,Breda,n/a,,
215,215,Goodboys,mixed,0,group,,London,n/a,London,n/a,,
216,216,MEDUZA,male,0,person,IT,n/a,n/a,Milan,n/a,,
217,217,Flo Rida,male,40,person,US,n/a,n/a,n/a,Carol City,,
218,218,CNCO,mixed,4,group,US,n/a,n/a,Miami,n/a,,
219,219,Ufo361,male,32,person,DE,n/a,n/a,Berlin,n/a,,
220,220,Rafa Pabön,male,0,person,PR,n/a,n/a,,,,
221,221,Juan Magán,male,41,person,ES,n/a,n/a,n/a,n/a,,
222,222,Galantis,mixed,8,group,SE,n/a,n/a,Stockholm,n/a,,
223,223,Lil Mosey,male,18,person,US,n/a,n/a,Seattle,n/a,,
224,224,Childish Gambino,male,36,person,US,n/a,n/a,Edwards Air Force Base,n/a,,
225,225,Mike Posner,male,32,person,US,n/a,n/a,Detroit,n/a,,
226,226,Dean Lewis,male,32,person,AU,n/a,n/a,Sydney,n/a,,
227,227,Maren Morris,female,30,person,US,n/a,n/a,Arlington,n/a,,
228,228,Rudimental,mixed,10,group,GB,n/a,n/a,n/a,n/a,,
229,229,Prince Royce,male,31,person,US,n/a,n/a,New York,n/a,,
230,230,Dan + Shay,mixed,7,group,US,n/a,n/a,Nashville,n/a,,
231,231,Morat,mixed,5,group,CO,n/a,n/a,Bogotá,n/a,,
232,232,Cazzu,,26,,AR,n/a,n/a,,,,
233,233,Khea,male,20,person,AR,n/a,n/a,Buenos Aires,n/a,,
234,234,Apache 207,male,22,person,DE,n/a,n/a,Ludwigshafen,n/a,,
235,235,Michael Bublé,male,44,person,CA,n/a,n/a,Burnaby,n/a,,
236,236,Desiigner,male,23,person,US,n/a,n/a,n/a,Brooklyn,,
237,237,Arizona Zervas,male,25,person,US,n/a,n/a,Hagerstown,n/a,,
238,238,George Ezra,male,27,person,GB,n/a,n/a,Bristol,n/a,,
239,239,blackbear,male,29,person,US,n/a,n/a,Daytona Beach,n/a,,
240,240,Alok,male,28,person,BR,n/a,n/a,Goiânia,n/a,,
241,241,Lorde,female,23,person,NZ,n/a,n/a,n/a,n/a,,
242,242,PARTYNEXTDOOR,male,27,person,CA,n/a,n/a,Mississauga,n/a,,
243,243,Christian Nodal,male,21,person,MX,n/a,n/a,n/a,n/a,,
244,244,Nio Garcia,male,0,person,PR,n/a,n/a,,,,
245,245,Snow,male,51,person,CA,n/a,n/a,n/a,North York,,
246,246,Iggy Azalea,female,30,person,US,n/a,n/a,Sydney,n/a,,
247,247,Jhay Cortez,male,0,person,PR,n/a,n/a,Las Piedras,n/a,,
248,248,Skrillex,male,32,person,US,n/a,n/a,Los Angeles,n/a,,
249,249,Mabel,female,24,person,,London,n/a,Málaga,n/a,,
250,250,Axwell /\ Ingrosso,mixed,6,group,SE,n/a,n/a,,,,
251,251,OMI,male,33,person,JM,n/a,n/a,n/a,n/a,,
252,252,Niall Horan,male,26,person,IE,n/a,n/a,Mullingar,n/a,,
253,253,Niska,male,26,person,FR,n/a,n/a,Villeneuve-Saint-Georges,n/a,,
254,254,Jax Jones,male,33,person,GB,n/a,n/a,London,n/a,,
255,255,Nacho,male,36,person,VE,n/a,n/a,n/a,n/a,,
256,256,Casper Magico,male,0,person,PR,n/a,n/a,,,,
257,257,Rich The Kid,male,28,person,US,n/a,n/a,n/a,n/a,,
258,258,Dynoro,male,0,person,,Vilnius,n/a,,,,
